LFBZ,BIQ,Biarritz-Anglet-Bayonne Airport,Medium airport,Biarritz/Anglet/Bayonne,France,
LILE,,Biella-Cerrione Airport,Medium airport,Biella (BI),Italy,
LEBB,BIO,Bilbao Airport,Medium airport,Bilbao,Spain,
ESKX,,Björkvik Air Base,Medium airport,Björkvik,Sweden,
EGLK,BBS,Blackbushe Airport,Medium airport,Yateley,United Kingdom,
EGNH,BLK,Blackpool International Airport,Medium airport,Blackpool,United Kingdom,
LFOQ,,Blois-Le Breuil Airport,Medium airport,Blois/Le Breuil,France,
LRBO,,Boboc Air Base,Medium airport,Boboc,Romania,
LDSB,BWK,Bol Airport,Medium airport,Brač Island,Croatia,
USPP,PEE,Perm International Airport,Medium airport,Perm,Russia,
LIPB,BZO,Bolzano Airport,Medium airport,Bolzano,Italy,
ESSD,BLE,Borlange Airport,Medium airport,Dalarna,Sweden,
EKRN,RNN,Bornholm Airport,Medium airport,Rønne,Denmark,
LFLD,BOU,Bourges Airport,Medium airport,Bourges,France,
LPBR,BGZ,Braga Municipal Aerodrome,Medium airport,Braga,Portugal,
LPBG,BGC,Bragança Airport,Medium airport,Bragança,Portugal,
EDVE,BWE,Braunschweig-Wolfsburg Airport,Medium airport,Braunschweig,Germany,
LIPO,VBS,Brescia Airport,Medium airport,Montichiari (BS),Italy,
UMBB,BQT,Brest Airport,Medium airport,Brest,Belarus,
LFRB,BES,Brest Bretagne Airport,Medium airport,Brest/Guipavas,France,
LIBR,BDS,Brindisi – Salento Airport,Medium airport,Brindisi,Italy,
LFSL,BVE,Brive Souillac Airport,Medium airport,Corrèze,France,
LKTB,BRQ,Brno-Tuřany Airport,Medium airport,Brno,Czechia,
ENBN,BNN,Brønnøysund Airport,Medium airport,Brønnøy,Norway,
UUBP,BZK,Bryansk Airport,Medium airport,Bryansk,Russia,
ETSB,,Büchel Air Base,Medium airport,Cochem,Germany,
ETHB,,Bückeburg Air Base,Medium airport,Bückeburg,Germany,
EHBD,,Budel Airport,Medium airport,Weert,The Netherlands,
