ICAO,IATA,Name,Type,Municipality,Country,
UBBL,LLK,Lankaran International Airport,Small airport,Lankaran,Azerbaijan,
RCLY,KYD,Lanyu Airport,Medium airport,Orchid Island,Taiwan,
VYLY,,Lanywa Airport,Small airport,Lanywa,Burma,
ZLLL,LHW,Lanzhou Zhongchuan Airport,Medium airport,Lanzhou,China,
RPLI,LAO,Laoag International Airport,Medium airport,Laoag City,Philippines,
OISL,LRR,Lar Airport,Medium airport,Lar,Iran,
WAPO,,Larat Airport,Small airport,Kepulauan Larat,Indonesia,
LCLK,LCA,Larnaca International Airport,Large airport,Larnarca,Cyprus,
VYLS,LSH,Lashio Airport,Medium airport,Lashio,Burma,
WITG,,Lasikin Airport,Small airport,Lubang-Simeulue Island,Indonesia,
WIMO,,Lasondre Airport,Small airport,Batu Islands,Indonesia,
OIBV,LVP,Lavan Island Airport,Medium airport,Hormozgan,Iran,
WBGW,LWY,Lawas Airport,Small airport,Lawas,Malaysia,
LCGK,GEC,Lefkoniko Airport,Medium airport,Geçitkale,Cyprus,
RPLP,LGP,Legazpi City International Airport,Medium airport,Legazpi City,Philippines,
VILH,IXL,Leh Kushok Bakula Rimpochee Airport,Medium airport,Leh,India,
OOLK,LKW,Lekhwair Airport,Small airport,,Oman,
VELP,AJL,Lengpui Airport,Medium airport,Aizawl,India,
UERL,ULK,Lensk Airport,Medium airport,Lensk,Russia,
WAJL,LHI,Lereh Airport,Small airport,Lereh-Papua Island,Indonesia,
RO02,,Lester Helo Pad Nº 2,Heliport,,Japan,
WATW,LWE,Lewoleba Airport,Small airport,Lewoleba-Lembata Island,Indonesia,
ZULS,LXA,Lhasa Gonggar Airport,Medium airport,Lhasa,China,
WITL,LSX,Lhok Sukon Airport,Medium airport,Lhok Sukon-Sumatra Island,Indonesia,
ZULP,LIA,Liangping Airport,Small airport,Liangping,China,
ZSSH,HIA,Lianshui Airport,Medium airport,Huai'an,China,
ZSLG,LYG,Lianyungang Airport,Small airport,Lianyungang,China,
ZULB,LLB,Libo Airport,Small airport,Libo County,China,
VVDL,DLI,Lien Khuong Airport,Medium airport,Da Lat,Vietnam,
ZPLJ,LJG,Lijiang Airport,Medium airport,Lijiang,China,
RPMX,,Liloy Airport,Small airport,,Philippines,
WBGJ,LMN,Limbang Airport,Medium airport,Limbang,Malaysia,
ZYLD,LDS,Lindu Airport,Medium airport,Yichun,China,
ZBLF,LFQ,Linfen Qiaoli Airport,Medium airport,Linfen,China,
RPUG,,Lingayen Airport,Small airport,,Philippines,
ZGLG,LLF,Lingling Airport,Medium airport,Yongzhou,China,
ZPLC,LNJ,Lintsang Airfield,Medium airport,Lincang,China,
WBGO,,Lio Matu Airport,Small airport,Lio Matu,Malaysia,
ZUNP,HZH,Liping Airport,Medium airport,Liping,China,
ZUPS,LPF,Liupanshui Yuezhao Airport,Medium airport,Liupanshui,China,
ZSQD,TAO,Liuting Airport,Medium airport,Qingdao,China,
ZGZH,LZH,Liuzhou Bailian Airport,Medium airport,Liuzhou,China,
RPUB,BAG,Loakan Airport,Medium airport,Baguio City,Philippines,
VTUL,LOE,Loei Airport,Medium airport,Loei,Thailand,
VYLK,LIW,Loikaw Airport,Medium airport,Loikaw,Burma,
VEPT,PAT,Lok Nayak Jayaprakash Airport,Medium airport,Patna,India,
VEGT,GAU,Lokpriya Gopinath Bordoloi International Airport,Medium airport,Guwahati,India,
WADL,LOP,Lombok International Airport,Medium airport,Mataram,Indonesia,
VYLN,,Lonekin Airport,Small airport,Lonekin,Burma,
WBGL,LKH,Long Akah Airport,Small airport,Long Akah,Malaysia,
WALP,LPU,Long Apung Airport,Small airport,Long Apung-Borneo Island,Indonesia,
WBGA,,Long Atip Airport,Small airport,Long Atip,Malaysia,
WALB,LBW,Long Bawan Airport,Small airport,Long Bawan-Borneo Island,Indonesia,
WBGE,,Long Geng Airport,Small airport,Long Geng,Malaysia,
WBGF,LGL,Long Lellang Airport,Small airport,Long Datih,Malaysia,
WALN,,Long Mawang Airport,Small airport,Long Mawang-Borneo Island,Indonesia,
WBKN,GSA,Long Pasia Airport,Small airport,Long Miau,Malaysia,
WBGD,LSM,Long Semado Airport,Small airport,Long Semado,Malaysia,
WBGI,ODN,Long Seridan Airport,Small airport,Long Seridan,Malaysia,
WBGU,LSU,Long Sukang Airport,Small airport,Long Sukang,Malaysia,
ZUGY,KWE,Longdongbao Airport,Large airport,Guiyang,China,
ZYCC,CGQ,Longjia Airport,Medium airport,Changchun,China,
ZLLN,LNL,Longnan Chengzhou Airport,Medium airport,Longnan,China,
RCDI,,Longtan Air Base,Medium airport,Longtan Township,Taiwan,
ZSLD,LCX,Longyan Guanzhishan Airport,Medium airport,Longyan,China,
OPLL,LRG,Loralai Airport,Small airport,Loralai,Pakistan,
WMPR,RDN,LTS Pulau Redang Airport,Small airport,Redang,Malaysia,
VLLN,LXG,Luang Namtha Airport,Small airport,Luang Namtha,Laos,
VLLB,LPQ,Luang Prabang International Airport,Medium airport,Luang Phabang,Laos,
RPLU,LBX,Lubang Airport,Medium airport,Lubang Island,Philippines,
VILD,LUH,Sahnewal Airport,Medium airport,Ludhiana,India,
USHL,,Lugovoy Airport,Small airport,Lugovoy,Russia,
UA36,,Lugovoy Airport,Small airport,Lugovoy,Kazakhstan,
VNLK,LUA,Lukla Airport,Small airport,Lukla,Nepal,
ZBLL,LLV,Lüliang Airport,Medium airport,Lüliang,China,
WMLH,,Lumut Heliport,Heliport,Lumut,Malaysia,
WADU,LYK,Lunyuk Airport,Small airport,Lunyuk-Simbawa Island,Indonesia,
ZGLD,,Luoding Sulong Airport.,Small airport,Louding City,China,
ZHLY,LYA,Luoyang Airport,Small airport,Luoyang,China,
WMLU,,Lutong Airport,Small airport,,Malaysia,
ZULZ,LZO,Luzhou Airport,Small airport,Luzhou,China,
RCGI,GNI,Lyudao Airport,Small airport,Lyudao,Taiwan,
RPSM,,Maasin Airport,Small airport,,Philippines,
VMMC,MFM,Macau International Airport,Large airport,Macau,Macau,
VE67,,Machuka Advanced Landing Ground,Small airport,,India,
RPVM,CEB,Mactan Cebu International Airport,Large airport,Lapu-Lapu City,Philippines,
OP13,,Mad Jamu Airport,Small airport,Mad Jamu Kholelan,Pakistan,
VOMD,IXM,Madurai Airport,Medium airport,Madurai,India,
VTCH,HGN,Mae Hong Son Airport,Medium airport,Mae Hong Son,Thailand,
VTCI,PYY,Mae Hong Son Airport,Small airport,Mae Hong Son,Thailand,
VTCS,,Mae Sariang Airport,Small airport,Mae Sariang,Thailand,
VTPM,MAQ,Mae Sot Airport,Medium airport,Tak Province,Thailand,
UHMT,,Magadan-13 Airport,Medium airport,Magadan,Russia,
VYMW,MWQ,Magway Airport,Small airport,Magway,Burma,
VAUD,UDR,Maharana Pratap Airport,Medium airport,Udaipur,India,
VNMN,XMG,Mahendranagar Airport,Small airport,Mahendranagar,Nepal,
OINM,,Mahmood Abad Airport,Small airport,Mahmood Abad,Iran,
OI13,,Mahmudabad Airport,Small airport,,Iran,
OIAM,MRX,Mahshahr Airport,Medium airport,Mahshahr,Iran,
OAMN,MMZ,Maymana Airport,Medium airport,Maymana,Afghanistan,
WITN,SBG,Maimun Saleh Airport,Small airport,Sabang-We Island,Indonesia,
RJBM,,Maizuru Heliport,Heliport,Maizuru,Japan,
OEAO,ULH,Majeed Bin Abdulaziz Airport,Medium airport,Al Ula,Saudi Arabia,
WAAT,,Makale Airport,Small airport,Makale-Celebes Island,Indonesia,
OITU,IMQ,Maku National Airport,Small airport,Showt,Iran,
RCQC,MZG,Makung Airport,Medium airport,Makung City,Taiwan,
RPMM,MLP,Malabang Airport,Small airport,Malabang,Philippines,
WMKM,MKZ,Malacca Airport,Medium airport,Malacca,Malaysia,
LTAT,MLX,Malatya Erhaç Airport,Medium airport,Malatya,Turkey,
LTAO,,Malatya Tulga Airport,Small airport,Malatya,Turkey,
OIHM,,Malayer Airport,Small airport,Malayer,Iran,
