ICAO,IATA,Name,Type,Municipality,Country
SSSO,,Fazenda Santa Odila Airport,Small airport,Brasilândia,Brazil
SSUQ,,Fazenda Santa Olinda Airport,Small airport,Sidrolândia,Brazil
SWXR,,Fazenda Santa Otília Airport,Small airport,Porto Murtinho,Brazil
SSJU,,Fazenda Santa Paula Airport,Small airport,Inocência,Brazil
SINV,,Fazenda Santa Rita Airport,Small airport,Custódia,Brazil
SSXV,,Fazenda Santa Rita Airport,Small airport,Naviraí,Brazil
SSHJ,,Fazenda Santa Rita Airport,Small airport,Ponta Porã,Brazil
SWRT,,Fazenda Santa Rita Airport,Small airport,Santa Rita Do Araguaia,Brazil
SIWC,,Fazenda Santa Rita Airport,Small airport,Diamantino,Brazil
SJSM,,Fazenda Santa Rita Airport,Small airport,Itarumã,Brazil
SWEZ,,Fazenda Santa Rita de Cássia Airport,Small airport,Jangada,Brazil
SWGW,,Fazenda Santa Rita do Araguaia Airport,Small airport,Jussara,Brazil
SIFH,,Fazenda Santa Rita do Araguaia Airport,Small airport,Santa Rita do Araguaia,Brazil
SWQS,,Fazenda Santa Rosa,Small airport,Ribas do Rio Pardo,Brazil
SSKQ,,Fazenda Santa Rosa Airport,Small airport,Nova Crixás,Brazil
SSRO,,Fazenda Santa Rosa Airport,Small airport,Naviraí,Brazil
SNAC,,Fazenda Santa Rosa Airport,Small airport,Xinguara,Brazil
SSSR,,Fazenda Santa Rosa Airport,Small airport,Água Clara,Brazil
SSXZ,,Fazenda Santa Rosa Airport,Small airport,Iturama,Brazil
SJSR,,Fazenda Santa Rosa Airport,Small airport,Mara Rosa,Brazil
SWSV,,Fazenda Santa Sílvia Airport,Small airport,Cocalinho,Brazil
SIKP,,Fazenda Santa Teresa Airport,Small airport,Corumbá,Brazil
SJTQ,,Fazenda Santa tereza Airport,Small airport,Petrópolis,Brazil
SSTG,,Fazenda Santa Terezinha Airport,Small airport,Corumbá,Brazil
SJYW,,Fazenda Santa Terezinha Airport,Small airport,Santa Terezinha,Brazil
SNVK,,Fazenda Santa Terezinha Airport,Small airport,Três Lagoas,Brazil
SNWK,,Fazenda Santa Terezinha Airport,Small airport,Pedra Preta,Brazil
SDST,,Fazenda Santa Terezinha da Barra Airport,Small airport,São Carlos,Brazil
SIWT,,Fazenda Santa Terezinha I,Small airport,Santa Terezinha,Brazil
SWXK,,Fazenda Santa Thereza Airport,Small airport,Aparecida do Rio Doce,Brazil
SNZL,,Fazenda Santa Thereza Airport,Small airport,Novo Horizonte,Brazil
SIOT,,Fazenda Santa Vergínia Airport,Small airport,Santa Rita Do Pardo,Brazil
SSVG,,Fazenda Santa Virgínia Airport,Small airport,Ponta Porã,Brazil
SDFZ,,Fazenda Santana Airport,Small airport,Riachão das Neves,Brazil
SDRC,,Fazenda Santana Airport,Small airport,Rancharia,Brazil
SJRP,,Fazenda Santângelo Agropecuária Airport,Small airport,Miranda,Brazil
