ICAO,IATA,Name,Type,Municipality,Country,
FYEN,,Eenhana Airport,Small airport,Eenhana,Namibia,
HCMH,HGA,Egal International Airport,Medium airport,Hargeisa,Somalia,
FAEG,,Egnep Airport,Small airport,Egnep,South Africa,
HCME,HCM,Eil Airport,Small airport,Eyl,Somalia,
DNEK,,Eket Airport,Small airport,,Nigeria,
DA12,,El Abiodh Sidi Cheikh Airport,Small airport,,Algeria,
HEAL,DBB,El Alamein International Airport,Medium airport,El Alamein,Egypt,
DAOY,EBH,El Bayadh Airport,Small airport,El Bayadh,Algeria,
DTTR,EBM,El Borma Airport,Medium airport,El Borma,Tunisia,
HSDB,EDB,El Debba Airport,Small airport,El Debba,Sudan,
HSFS,ELF,El Fasher Airport,Medium airport,El Fasher,Sudan,
DAUE,ELG,El Golea Airport,Medium airport,El Goléa,Algeria,
HEGR,EGH,El Gora Airport,Medium airport,El Gora,Egypt,
HEGO,,El Gouna Airport,Small airport,El Gouna,Egypt,
GMMJ,,El Jadida Airport,Small airport,El Jadida,Morocco,
HEKG,UVL,El Kharga Airport,Small airport,,Egypt,
HEMN,EMY,El Minya Airport,Small airport,Minya,Egypt,
FALQ,,El Mirador Airport,Small airport,Ardmore,South Africa,
HEAX,ALY,El Nouzha Airport,Medium airport,Alexandria,Egypt,
HSOB,EBD,El Obeid Airport,Medium airport,Al-Ubayyid,Sudan,
HKEW,,El Wak Airport,Small airport,El Wak,Kenya,
HKEL,EDL,Eldoret International Airport,Medium airport,Eldoret,Kenya,
HKES,EYS,Eliye Springs Airport,Small airport,Eliye Springs,Kenya,
FAET,,Elliot Airport,Small airport,Elliot,South Africa,
FAER,ELL,Ellisras Matimba Airport,Small airport,Ellisras,South Africa,
HKEM,,Embu Airport,Small airport,Embu,Kenya,
FAEM,EMG,Empangeni Airport,Small airport,Empangeni,South Africa,
HSNH,NUD,En Nahud Airport,Small airport,En Nahud,Sudan,
HTEN,,Endulen Airport,Small airport,Endulen,Tanzania,
DTNH,NBE,Enfidha - Hammamet International Airport,Large airport,Enfidha,Tunisia,
FZFC,,Engengele Airport,Small airport,Engengele,Congo (Kinshasa),
HUEN,EBB,Entebbe International Airport,Large airport,Kampala,Uganda,
FYEK,,Epukiro Airport,Small airport,Epukiro,Namibia,
HCMU,ERA,Erigavo Airport,Small airport,Erigavo,Somalia,
FAEO,,Ermelo Airport,Medium airport,Ermelo,South Africa,
FYWE,ERS,Eros Airport,Medium airport,Windhoek,Namibia,
DAOO,ORN,Es Senia Airport,Medium airport,Oran,Algeria,
DNES,,Escravos Airport,Small airport,,Nigeria,
FKKE,,Eseka Airport,Small airport,Eseka,Cameroon,
FAES,,Eshowe Airport,Small airport,Eshowe,South Africa,
GVBR,BVR,Esperadinha Airport,Small airport,Brava Island,Cape Verde,
HLSD,,Essider Airport,Small airport,,Libya,
FAEC,,Estcourt Airport,Small airport,Estcourt,South Africa,
FCOE,EWO,Ewo Airport,Small airport,Ewo,Congo (Brazzaville),
FTTF,,Fada Airport,Small airport,Fada,Chad,
DFEF,FNG,Fada N'gourma Airport,Small airport,Fada N'gourma,Burkina Faso,
GAFD,,Faladie Airport,Small airport,Faladie,Mali,
FZJK,,Faradje Airport,Small airport,Faradje,Congo (Kinshasa),
FMSG,RVA,Farafangana Airport,Small airport,,Madagascar,
GUFH,FAA,Faranah Airport,Small airport,Faranah,Guinea,
FYGK,,Farm Whitwater East Landing Strip,Small airport,Desert Homestead,Namibia,
FSFA,,Farquhar Airport,Small airport,Farquhar Group,Seychelles,
FMNN,NOS,Fascene Airport,Medium airport,Nosy Be,Madagascar,
FZCT,,Fatundu Airport,Small airport,Fatundu,Congo (Kinshasa),
FTTY,FYT,Faya Largeau Airport,Medium airport,Chad,Chad,
GQPF,FGD,Fderik Airport,Small airport,Fderik,Mauritania,
DIFK,FEK,Ferkessedougou Airport,Small airport,Ferkessedougou,Côte d'Ivoire,
GMFU,,Fes Sefrou Airport,Small airport,Fes,Morocco,
FMSF,WFI,Fianarantsoa Airport,Medium airport,Fianarantsoa,Madagascar,
FAFB,FCB,Ficksburg Sentraoes Airport,Medium airport,Ficksburg,South Africa,
